cwd.no,site,ft,plot,asn,tr,species,diam,dc,c
1,SC1,TS,SC1TS,1,30,UNKN,6.2,5,Y
2,SC1,TS,SC1TS,1,30,ACRU,3.8,4,Y
3,SC1,TS,SC1TS,1,150,BELE,3.3,5,Y
4,SC1,TS,SC1TS,1,150,BEAL,5.5,3,Y
5,SC1,TS,SC1TS,1,150,FAGR,3.1,5,Y
6,SC1,TS,SC1TS,1,150,BEAL,5.1,5,Y
7,SC1,TS,SC1TS,1,150,FAGR,9.7,5,Y
8,SC1,TS,SC1TS,1,270,FAGR,6.7,3,Y
9,SC1,TS,SC1TS,1,270,FAGR,17.2,3,Y
10,SC1,TS,SC1TS,1,270,FAGR,3.2,4,Y
11,SC1,TS,SC1TS,1,270,FAGR,2.8,3,Y
12,SC1,TS,SC1TS,1,270,FAGR,6.2,4,Y
13,SC1,TS,SC1TS,2,30,UNKN,3,4,Y
14,SC1,TS,SC1TS,2,30,TSCA,43.9,2,N
15,SC1,TS,SC1TS,2,30,TSCA,22.7,2,N
16,SC1,TS,SC1TS,2,30,TSCA,5,2,Y
17,SC1,TS,SC1TS,2,30,BELE,3.3,3,Y
18,SC1,TS,SC1TS,2,30,BELE,4,3,Y
19,SC1,TS,SC1TS,2,270,TSCA,3.2,5,Y
20,SC1,TS,SC1TS,3,30,UNKN,4.9,4,Y
21,SC1,TS,SC1TS,3,30,BEPA,3.1,5,Y
22,SC1,TS,SC1TS,3,150,TSCA,27.4,5,Y
23,SC1,TS,SC1TS,3,150,FAGR,12.9,4,Y
24,SC1,TS,SC1TS,3,150,FAGR,5,5,Y
25,SC1,TS,SC1TS,3,150,TSCA,5,4,Y
26,SC1,TS,SC1TS,3,150,BEPA,2.5,3,Y
27,SC1,TS,SC1TS,3,150,BEPA,6.5,4,N
28,SC1,TS,SC1TS,3,150,BEPA,6.8,4,Y
29,SC1,TS,SC1TS,3,270,TSCA,26.7,5,Y
30,SC1,TS,SC1TS,3,270,FAGR,3,3,Y
31,SC1,TS,SC1TS,3,270,UNKN,3.9,3,Y
32,SC1,TS,SC1TS,3,270,TSCA,3.9,5,Y
33,SC1,TS,SC1TS,5,30,UNKN,3.7,3,N
34,SC1,TS,SC1TS,4,30,TSCA,6.7,5,Y
35,SC1,TS,SC1TS,4,30,UNKN,3.8,4,Y
36,SC1,TS,SC1TS,4,150,UNKN,10,5,Y
37,SC1,TS,SC1TS,4,150,UNKN,5.7,3,N
38,SC1,TS,SC1TS,4,150,TSCA,5.7,5,Y
39,SC1,TS,SC1TS,4,150,TSCA,9.2,5,Y
40,SC1,TS,SC1TS,4,150,TSCA,2.6,5,Y
41,SC1,TS,SC1TS,5,30,BEPA,8.6,3,Y
42,SC1,TS,SC1TS,5,30,FAGR,6.2,3,Y
43,SC1,TS,SC1TS,5,30,FAGR,5.9,3,Y
44,SC1,TS,SC1TS,5,30,FAGR,6.1,3,Y
45,SC1,TS,SC1TS,5,150,UNKN,9.2,4,Y
46,SC1,TS,SC1TS,5,150,ACRU,6.7,5,Y
47,SC1,MD,SC1MD,1,30,UNKN,8.9,5,Y
48,SC1,MD,SC1MD,1,30,UNKN,15.8,5,Y
49,SC1,MD,SC1MD,1,30,ACRU,10,3,Y
50,SC1,MD,SC1MD,1,30,PIST,5.8,5,Y
51,SC1,MD,SC1MD,1,150,PIST,5.8,2,Y
52,SC1,MD,SC1MD,1,150,PIST,7.6,3,Y
53,SC1,MD,SC1MD,1,150,PIST,6,4,Y
54,SC1,MD,SC1MD,1,150,PIST,3.8,3,Y
55,SC1,MD,SC1MD,1,150,PIST,12.4,4,Y
56,SC1,MD,SC1MD,1,150,PIST,14,5,Y
57,SC1,MD,SC1MD,1,150,BEAL,7.1,5,Y
58,SC1,MD,SC1MD,1,270,PIST,3.6,2,Y
59,SC1,MD,SC1MD,1,270,PIST,10.5,5,Y
60,SC1,MD,SC1MD,1,270,ACRU,5.7,3,N
61,SC1,MD,SC1MD,1,270,PIST,8,3,N
62,SC1,MD,SC1MD,1,270,ACRU,9.1,3,N
63,SC1,MD,SC1MD,1,270,ACRU,4.9,3,Y
64,SC1,MD,SC1MD,2,30,ACRU,4.7,1,N
65,SC1,MD,SC1MD,2,150,PIST,12.7,3,Y
66,SC1,MD,SC1MD,2,150,PIST,3,3,Y
67,SC1,MD,SC1MD,2,270,PIST,4.3,4,Y
68,SC1,MD,SC1MD,2,270,PIST,10.6,3,Y
69,SC1,MD,SC1MD,3,30,UNKN,10.2,5,Y
70,SC1,MD,SC1MD,3,30,BEAL,3.7,4,Y
71,SC1,MD,SC1MD,3,30,ACRU,3.8,4,Y
72,SC1,MD,SC1MD,3,30,PIST,8.7,4,Y
73,SC1,MD,SC1MD,3,30,UNKN,2.7,3,Y
74,SC1,MD,SC1MD,3,150,OSVI,8.2,3,Y
75,SC1,MD,SC1MD,3,150,PIST,13.1,4,Y
76,SC1,MD,SC1MD,3,150,PIST,8.3,5,Y
77,SC1,MD,SC1MD,3,270,PIST,3.4,3,N
78,SC1,MD,SC1MD,3,270,PIST,2.6,3,N
79,SC1,MD,SC1MD,4,30,ACSA,2.8,3,N
80,SC1,MD,SC1MD,4,30,BELE,3,3,N
81,SC1,MD,SC1MD,4,30,BEPA,7,5,Y
82,SC1,MD,SC1MD,4,30,UNKN,2.8,3,Y
83,SC1,MD,SC1MD,4,30,UNKN,3.1,3,Y
84,SC1,MD,SC1MD,4,150,PIST,13.1,2,Y
85,SC1,MD,SC1MD,4,270,WITCH,3.3,1,Y
86,SC1,MD,SC1MD,4,270,UNKN,4,4,Y
87,SC1,MD,SC1MD,4,270,ACRU,3.1,5,Y
88,SC1,MD,SC1MD,4,270,ACRU,3.1,3,N
89,SC1,MD,SC1MD,5,150,PIST,9.1,2,N
90,SC1,MD,SC1MD,5,150,ACRU,4.6,4,Y
91,SC1,MD,SC1MD,5,150,PIST,8.4,5,Y
92,SC1,MD,SC1MD,5,150,ACRU,2.9,3,Y
93,SC1,MD,SC1MD,5,270,PIST,0.6,3,Y
94,SC1,MD,SC1MD,5,270,PIST,7.4,5,Y
95,SC1,MD,SC1MD,5,270,UNKN,2.7,4,Y
96,PH,TS,PHTS,1,30,TSCA,3.6,5,Y
97,PH,TS,PHTS,1,30,TSCA,5.4,4,Y
98,PH,TS,PHTS,1,30,TSCA,4.7,3,Y
99,PH,TS,PHTS,1,30,TSCA,3.4,5,Y
100,PH,TS,PHTS,1,270,TSCA,2.7,4,Y
101,PH,TS,PHTS,1,270,UNKN,5.6,3,N
102,PH,TS,PHTS,1,270,UNKN,4.4,5,Y
103,PH,TS,PHTS,2,30,TSCA,2.6,4,Y
104,PH,TS,PHTS,2,150,TSCA,4.4,4,Y
105,PH,TS,PHTS,2,150,TSCA,7.8,4,Y
106,PH,TS,PHTS,2,150,TSCA,3.5,5,Y
107,PH,TS,PHTS,2,270,TSCA,3.6,4,Y
108,PH,TS,PHTS,2,270,TSCA,3,4,Y
109,PH,TS,PHTS,2,270,TSCA,3.5,4,Y
110,PH,TS,PHTS,3,30,TSCA,4.3,5,Y
111,PH,TS,PHTS,3,30,TSCA,4.8,5,Y
112,PH,TS,PHTS,3,30,TSCA,2.6,5,Y
113,PH,TS,PHTS,3,30,TSCA,26.7,1,N
114,PH,TS,PHTS,3,30,TSCA,3.7,4,Y
115,PH,TS,PHTS,3,30,TSCA,3.5,4,Y
116,PH,TS,PHTS,3,270,UNKN,5.6,3,N
117,PH,TS,PHTS,3,270,BELE,4.3,5,Y
118,PH,TS,PHTS,3,270,TSCA,4.3,4,Y
119,PH,TS,PHTS,3,270,BELE,4.4,4,Y
120,PH,TS,PHTS,3,270,BELE,3,5,Y
121,PH,TS,PHTS,3,270,TSCA,3.2,4,Y
122,PH,TS,PHTS,4,30,TSCA,5,4,Y
123,PH,TS,PHTS,4,150,BEPA,13.4,5,Y
124,PH,TS,PHTS,4,150,UNKN,16.1,4,N
125,PH,TS,PHTS,4,270,TSCA,4.3,2,Y
126,PH,TS,PHTS,4,270,TSCA,11.9,5,Y
127,PH,TS,PHTS,5,30,TSCA,9,5,Y
128,PH,TS,PHTS,5,30,TSCA,4,4,N
129,PH,TS,PHTS,5,30,TSCA,4.6,4,Y
130,PH,TS,PHTS,5,150,TSCA,15.3,2,N
131,PH,TS,PHTS,5,150,TSCA,3.3,5,Y
132,PH,TS,PHTS,5,270,TSCA,11.2,5,Y
133,PH,TS,PHTS,5,270,UNKN,10.3,5,Y
134,PH,TS,PHTS,5,270,TSCA,13.5,3,N
135,PH,TS,PHTS,5,270,UNKN,9,4,Y
136,PH,MD,PHMD,1,270,UNKN,9.7,5,Y
137,PH,MD,PHMD,2,30,QUVE,6.3,3,N
138,PH,MD,PHMD,2,30,QUVE,3.4,4,Y
139,PH,MD,PHMD,2,30,UNKN,5.2,3,N
140,PH,MD,PHMD,2,30,UNKN,4.5,3,N
141,PH,MD,PHMD,2,150,QUVE,5.3,2,Y
142,PH,MD,PHMD,2,150,QUVE,3.5,3,Y
143,PH,MD,PHMD,2,150,QUVE,2.5,3,Y
144,PH,MD,PHMD,2,150,UNKN,2.6,3,Y
145,PH,MD,PHMD,2,150,QUVE,3.4,4,Y
146,PH,MD,PHMD,3,30,QUVE,3,3,Y
147,PH,MD,PHMD,3,30,BEPA,5.7,4,N
148,PH,MD,PHMD,3,270,QUVE,3,3,Y
149,PH,MD,PHMD,3,270,UNKN,4.2,3,N
150,PH,MD,PHMD,3,270,UNKN,3.3,3,Y
151,PH,MD,PHMD,4,30,BEPA,2.7,2,N
152,PH,MD,PHMD,4,30,BEPA,3.2,3,Y
153,PH,MD,PHMD,4,30,BEPA,2.7,2,Y
154,PH,MD,PHMD,4,30,BEPA,6.2,3,Y
155,PH,MD,PHMD,4,150,UNKN,3.4,5,Y
156,PH,MD,PHMD,4,150,UNKN,3.8,3,Y
157,PH,MD,PHMD,4,270,BEPA,5.3,5,Y
158,PH,MD,PHMD,4,270,ACRU,5,3,Y
159,PH,MD,PHMD,4,270,ACRU,4.3,3,Y
160,PH,MD,PHMD,5,30,QUVE,4.9,3,Y
161,PH,MD,PHMD,5,30,QUVE,3.5,5,Y
162,PH,MD,PHMD,5,30,QUVE,5.2,3,Y
163,PH,MD,PHMD,5,30,QUVE,2.5,5,Y
164,PH,MD,PHMD,5,150,QUVE,4.9,3,Y
165,TS2,TS,TS2TS,1,30,TSCA,4.4,3,Y
166,TS2,TS,TS2TS,1,150,TSCA,5.9,5,Y
167,TS2,TS,TS2TS,1,150,TSCA,3.4,3,N
168,TS2,TS,TS2TS,1,270,UNKN,3.4,3,Y
169,TS2,TS,TS2TS,1,270,UNKN,3.5,3,Y
170,TS2,TS,TS2TS,1,270,UNKN,3.9,3,N
171,TS2,TS,TS2TS,1,270,UNKN,3,4,Y
172,TS2,TS,TS2TS,2,30,PIST,2.7,5,Y
173,TS2,TS,TS2TS,2,270,UNKN,3.7,2,Y
174,TS2,TS,TS2TS,2,270,UNKN,4.8,3,Y
175,TS2,TS,TS2TS,2,270,UNKN,7.2,3,Y
176,TS2,TS,TS2TS,2,270,UNKN,4,5,Y
177,TS2,TS,TS2TS,3,30,PIST,3.4,3,Y
178,TS2,TS,TS2TS,3,30,UNKN,2.7,3,Y
179,TS2,TS,TS2TS,3,30,ACRU,3.2,2,Y
180,TS2,TS,TS2TS,3,150,ACRU,2.7,5,Y
181,TS2,TS,TS2TS,3,270,TSCA,4.1,3,Y
182,TS2,TS,TS2TS,3,270,TSCA,4.2,5,Y
183,TS2,TS,TS2TS,3,270,TSCA,4.4,5,Y
184,TS2,TS,TS2TS,3,270,TSCA,7.2,2,Y
185,TS2,TS,TS2TS,4,150,TSCA,3.6,4,Y
186,TS2,TS,TS2TS,4,150,UNKN,8.6,5,Y
187,TS2,TS,TS2TS,4,270,TSCA,23.2,5,Y
188,TS2,TS,TS2TS,4,270,QURU,11.4,2,Y
189,TS2,TS,TS2TS,5,30,ACRU,6.6,2,Y
190,TS2,TS,TS2TS,5,30,ACRU,8.6,2,Y
191,TS2,TS,TS2TS,5,270,ACRU,6.7,2,Y
192,TS2,TS,TS2TS,5,270,ACRU,5,5,Y
193,TS2,TS,TS2TS,5,270,TSCA,11.4,5,Y
194,TS2,MD,TS2MD,1,30,BEPA,4,5,Y
195,TS2,MD,TS2MD,1,30,BEPA,3.9,5,Y
196,TS2,MD,TS2MD,1,30,UNKN,4.5,3,Y
197,TS2,MD,TS2MD,1,30,BEPA,12.6,5,Y
198,TS2,MD,TS2MD,1,30,UNKN,7.7,4,Y
199,TS2,MD,TS2MD,1,150,UNKN,10.1,3,Y
200,TS2,MD,TS2MD,1,150,UNKN,3.3,3,Y
201,TS2,MD,TS2MD,1,150,UNKN,2.8,3,Y
202,TS2,MD,TS2MD,1,150,BEPA,3,4,Y
203,TS2,MD,TS2MD,1,270,UNKN,7,4,Y
204,TS2,MD,TS2MD,1,270,UNKN,5.5,5,Y
205,TS2,MD,TS2MD,1,270,BEPA,3.3,5,Y
206,TS2,MD,TS2MD,1,270,ACRU,7.6,3,Y
207,TS2,MD,TS2MD,1,270,ACRU,4.7,3,Y
208,TS2,MD,TS2MD,1,270,PIST,9.2,5,Y
209,TS2,MD,TS2MD,1,270,ACRU,5.9,2,Y
210,TS2,MD,TS2MD,1,270,UNKN,6.7,4,Y
211,TS2,MD,TS2MD,2,30,PIST,2.6,4,Y
212,TS2,MD,TS2MD,2,30,PIST,8.5,4,Y
213,TS2,MD,TS2MD,2,150,QURU,31.2,4,N
214,TS2,MD,TS2MD,2,150,ACRU,4.4,2,N
215,TS2,MD,TS2MD,2,150,ACRU,3.1,3,N
216,TS2,MD,TS2MD,2,150,ACRU,2.6,2,N
217,TS2,MD,TS2MD,2,150,ACRU,2.9,4,Y
218,TS2,MD,TS2MD,2,150,ACRU,4.9,3,Y
219,TS2,MD,TS2MD,3,30,PIST,9.2,3,Y
220,TS2,MD,TS2MD,3,30,PIST,4.3,3,Y
221,TS2,MD,TS2MD,3,30,UNKN,6.4,4,Y
222,TS2,MD,TS2MD,3,150,UNKN,2.6,2,Y
223,TS2,MD,TS2MD,3,150,PIST,6.3,3,Y
224,TS2,MD,TS2MD,3,270,UNKN,6.3,3,Y
225,TS2,MD,TS2MD,3,270,UNKN,3,2,N
226,TS2,MD,TS2MD,3,270,UNKN,3,3,N
227,TS2,MD,TS2MD,3,270,UNKN,3,3,Y
228,TS2,MD,TS2MD,3,270,UNKN,6.2,2,Y
229,TS2,MD,TS2MD,3,270,ACRU,2.6,5,Y
230,TS2,MD,TS2MD,3,270,UNKN,11.4,3,Y
231,TS2,MD,TS2MD,4,30,BEPA,13.6,4,Y
232,TS2,MD,TS2MD,4,30,PIST,11.7,5,Y
233,TS2,MD,TS2MD,4,150,PIST,3.6,3,N
234,TS2,MD,TS2MD,4,270,PIST,3.2,5,Y
235,TS2,MD,TS2MD,5,30,PIST,4.7,5,Y
236,TS2,MD,TS2MD,5,30,ACRU,3.4,3,Y
237,TS2,MD,TS2MD,5,30,UNKN,7.2,5,Y
238,TS2,MD,TS2MD,5,30,PIST,3.7,3,Y
239,TS2,MD,TS2MD,5,30,PIST,8.1,5,Y
240,TS2,MD,TS2MD,5,30,PIST,7.4,3,Y
241,TS2,MD,TS2MD,5,30,BEPA,7.2,3,Y
242,TS2,MD,TS2MD,5,150,PIST,2.8,5,Y
243,TS2,MD,TS2MD,5,150,PIST,3.8,4,Y
244,TS2,MD,TS2MD,5,150,PIST,4.4,5,Y
245,TS2,MD,TS2MD,5,150,UNKN,6.7,3,Y
246,TS2,MD,TS2MD,5,150,UNKN,5.5,3,Y
247,TS2,MD,TS2MD,5,270,PIST,2.9,3,Y
248,TS2,MD,TS2MD,5,270,PIST,6.7,5,Y
249,TS2,MD,TS2MD,5,270,PIST,3.1,3,Y
250,TS2,MD,TS2MD,5,270,PIST,7,5,Y
251,TS2,MD,TS2MD,5,270,PIST,2.7,3,Y
252,TS1,TS,TS1TS,1,30,UNKN,6.1,4,Y
253,TS1,TS,TS1TS,1,30,UNKN,4.7,5,Y
254,TS1,TS,TS1TS,1,30,FAGR,3.8,2,Y
255,TS1,TS,TS1TS,1,30,UNKN,4.8,3,Y
256,TS1,TS,TS1TS,1,150,UNKN,6.1,3,Y
257,TS1,TS,TS1TS,1,150,UNKN,17.4,3,Y
258,TS1,TS,TS1TS,1,150,TSCA,3,2,N
259,TS1,TS,TS1TS,1,150,UNKN,2.5,4,Y
260,TS1,TS,TS1TS,1,150,UNKN,4,5,Y
261,TS1,TS,TS1TS,2,30,UNKN,2.8,3,N
262,TS1,TS,TS1TS,2,30,TSCA,8.7,1,N
263,TS1,TS,TS1TS,2,30,UNKN,7.7,3,N
264,TS1,TS,TS1TS,2,30,UNKN,6.3,3,N
265,TS1,TS,TS1TS,2,30,UNKN,7.4,4,Y
266,TS1,TS,TS1TS,2,150,UNKN,5.2,3,Y
267,TS1,TS,TS1TS,2,150,UNKN,11,3,Y
268,TS1,TS,TS1TS,2,150,UNKN,23.4,3,Y
269,TS1,TS,TS1TS,2,150,UNKN,13.8,5,Y
270,TS1,TS,TS1TS,2,270,UNKN,5.3,3,N
271,TS1,TS,TS1TS,2,270,BELE,3.3,2,Y
272,TS1,TS,TS1TS,3,30,TSCA,12.5,5,Y
273,TS1,TS,TS1TS,3,30,TSCA,5.3,2,N
274,TS1,TS,TS1TS,3,30,TSCA,2.9,2,N
275,TS1,TS,TS1TS,3,30,TSCA,2.7,2,N
276,TS1,TS,TS1TS,3,30,UNKN,7.2,3,Y
277,TS1,TS,TS1TS,3,270,TSCA,4.4,4,Y
278,TS1,TS,TS1TS,4,30,UNKN,5.6,3,Y
279,TS1,TS,TS1TS,4,150,TSCA,8,2,N
280,TS1,TS,TS1TS,4,150,UNKN,3.7,3,Y
281,TS1,TS,TS1TS,4,150,TSCA,5.2,4,N
282,TS1,TS,TS1TS,5,30,ACRU,6.3,5,Y
283,TS1,TS,TS1TS,5,30,BELE,4.2,2,Y
284,TS1,TS,TS1TS,5,30,BELE,3.4,5,Y
285,TS1,TS,TS1TS,5,150,TSCA,4.2,2,N
286,TS1,TS,TS1TS,5,150,UNKN,3.9,3,Y
287,TS1,TS,TS1TS,5,150,BELE,3,4,Y
288,TS1,TS,TS1TS,5,270,BELE,5.2,4,Y
289,TS1,TS,TS1TS,5,270,UNKN,4,3,N
290,TS1,MD,TS1MD,2,30,QUVE,2.5,3,Y
291,TS1,MD,TS1MD,2,30,QUVE,7.5,3,Y
292,TS1,MD,TS1MD,2,30,UNKN,7.5,3,Y
293,TS1,MD,TS1MD,2,30,UNKN,3.6,3,Y
294,TS1,MD,TS1MD,2,150,UNKN,6.6,3,Y
295,TS1,MD,TS1MD,2,150,QUVE,6.7,5,Y
296,TS1,MD,TS1MD,2,270,UNKN,3.7,2,Y
297,TS1,MD,TS1MD,2,270,UNKN,6.2,3,Y
298,TS1,MD,TS1MD,2,270,UNKN,3.3,3,N
299,TS1,MD,TS1MD,3,150,QUVE,4.1,5,Y
300,TS1,MD,TS1MD,3,150,QUVE,5.4,2,Y
301,TS1,MD,TS1MD,4,30,QUVE,3.9,3,Y
302,TS1,MD,TS1MD,4,30,UNKN,2.7,4,Y
303,TS1,MD,TS1MD,4,30,UNKN,5.3,3,Y
304,TS1,MD,TS1MD,4,30,UNKN,21.3,5,Y
305,TS1,MD,TS1MD,4,30,UNKN,8.3,3,Y
306,TS1,MD,TS1MD,4,30,UNKN,14,2,Y
307,TS1,MD,TS1MD,4,30,QUVE,3.4,2,Y
308,TS1,MD,TS1MD,4,150,QUVE,7.2,5,Y
309,TS1,MD,TS1MD,4,150,UNKN,5.9,3,N
310,TS1,MD,TS1MD,4,150,UNKN,5.1,3,N
311,TS1,MD,TS1MD,4,150,QUVE,2.7,5,N
312,TS1,MD,TS1MD,4,150,UNKN,8.5,3,N
313,TS1,MD,TS1MD,4,270,UNKN,3.5,4,Y
314,TS1,MD,TS1MD,4,270,ACRU,4.9,2,Y
315,TS1,MD,TS1MD,5,150,QUVE,6.1,3,Y
316,TS1,MD,TS1MD,5,150,QUVE,7.7,3,Y
317,TS1,MD,TS1MD,5,150,QUVE,3.4,4,Y
318,TS1,MD,TS1MD,5,150,QUVE,5.6,5,Y
319,TS1,MD,TS1MD,5,150,QUVE,6.7,5,Y
320,TS1,MD,TS1MD,5,270,UNKN,4.5,4,Y
321,TS1,MD,TS1MD,5,270,UNKN,8.2,3,Y
322,TS1,MD,TS1MD,5,270,UNKN,2.7,5,Y
323,TS1,MD,TS1MD,5,270,UNKN,3.6,4,Y
324,WA1,TS,WA1TS,1,30,TSCA,2.6,4,Y
325,WA1,TS,WA1TS,1,150,TSCA,5.9,5,Y
326,WA1,TS,WA1TS,1,150,TSCA,4.5,4,Y
327,WA1,TS,WA1TS,1,270,TSCA,3.6,5,N
328,WA1,TS,WA1TS,1,270,TSCA,6.2,5,Y
329,WA1,TS,WA1TS,2,30,TSCA,29.7,5,Y
330,WA1,TS,WA1TS,2,30,TSCA,20.7,3,Y
331,WA1,TS,WA1TS,2,30,TSCA,3.1,2,Y
332,WA1,TS,WA1TS,2,30,TSCA,8.7,2,Y
333,WA1,TS,WA1TS,2,30,TSCA,4.8,5,Y
334,WA1,TS,WA1TS,2,30,TSCA,2.5,2,Y
335,WA1,TS,WA1TS,2,150,TSCA,5.1,3,Y
336,WA1,TS,WA1TS,2,270,TSCA,4,2,N
337,WA1,TS,WA1TS,2,270,TSCA,3.2,2,N
338,WA1,TS,WA1TS,2,270,TSCA,4.5,5,Y
339,WA1,TS,WA1TS,3,270,TSCA,8.2,2,N
340,WA1,TS,WA1TS,3,270,UNKN,7.4,4,Y
341,WA1,TS,WA1TS,3,270,TSCA,3.5,3,N
342,WA1,TS,WA1TS,3,270,TSCA,6,5,Y
343,WA1,TS,WA1TS,3,270,TSCA,3.5,3,N
344,WA1,TS,WA1TS,3,270,TSCA,4,5,Y
345,WA1,TS,WA1TS,3,270,TSCA,24.8,5,Y
346,WA1,TS,WA1TS,4,30,TSCA,5.7,4,N
347,WA1,TS,WA1TS,4,30,TSCA,4.9,2,N
348,WA1,TS,WA1TS,4,30,TSCA,6.6,3,Y
349,WA1,TS,WA1TS,4,30,TSCA,3.5,3,Y
350,WA1,TS,WA1TS,4,30,TSCA,4.8,2,N
351,WA1,TS,WA1TS,4,30,TSCA,17.7,5,Y
352,WA1,TS,WA1TS,4,30,TSCA,4.7,2,N
353,WA1,TS,WA1TS,4,150,TSCA,5.6,5,Y
354,WA1,TS,WA1TS,4,150,TSCA,2.6,2,Y
355,WA1,TS,WA1TS,4,150,TSCA,4.5,2,N
356,WA1,TS,WA1TS,4,150,TSCA,4.1,3,N
357,WA1,TS,WA1TS,4,270,TSCA,3.1,3,Y
358,WA1,TS,WA1TS,4,270,TSCA,6.3,3,Y
359,WA1,TS,WA1TS,5,30,TSCA,4,2,Y
360,WA1,TS,WA1TS,5,30,TSCA,2.9,4,Y
361,WA1,TS,WA1TS,5,30,TSCA,20.4,5,Y
362,WA1,TS,WA1TS,5,270,TSCA,3.4,5,Y
363,WA1,TS,WA1TS,5,270,TSCA,3,2,N
364,WA1,TS,WA1TS,5,270,BELE,3.2,4,Y
365,WA2,TS,WA2TS,1,30,FAGR,23.1,4,Y
366,WA2,TS,WA2TS,1,30,TSCA,29.5,3,Y
367,WA2,TS,WA2TS,1,30,TSCA,5.9,2,Y
368,WA2,TS,WA2TS,1,150,FAGR,13.7,4,Y
369,WA2,TS,WA2TS,1,150,FAGR,3.3,3,Y
370,WA2,TS,WA2TS,1,150,TSCA,3.2,3,Y
371,WA2,TS,WA2TS,1,150,TSCA,7.7,3,Y
372,WA2,TS,WA2TS,1,150,TSCA,3.2,2,Y
373,WA2,TS,WA2TS,1,150,FAGR,3.6,3,N
374,WA2,TS,WA2TS,2,30,BELE,19.6,5,Y
375,WA2,TS,WA2TS,2,150,BELE,5.5,4,Y
376,WA2,TS,WA2TS,2,150,TSCA,15.5,4,Y
377,WA2,TS,WA2TS,2,150,BELE,5.4,4,Y
378,WA2,TS,WA2TS,2,150,TSCA,3.6,3,N
379,WA2,TS,WA2TS,2,270,BELE,7.1,5,Y
380,WA2,TS,WA2TS,2,270,BELE,5,3,Y
381,WA2,TS,WA2TS,2,270,BELE,11.2,2,N
382,WA2,TS,WA2TS,3,30,TSCA,3.2,5,Y
383,WA2,TS,WA2TS,3,150,TSCA,3.8,2,Y
384,WA2,TS,WA2TS,3,150,BELE,3.2,5,Y
385,WA2,TS,WA2TS,3,150,TSCA,2.9,3,Y
386,WA2,TS,WA2TS,3,270,BELE,8,4,N
387,WA2,TS,WA2TS,4,30,UNKN,10.9,3,N
388,WA2,TS,WA2TS,4,30,TSCA,31.2,2,N
389,WA2,TS,WA2TS,4,30,TSCA,6.1,2,N
390,WA2,TS,WA2TS,4,30,UNKN,8.5,3,Y
391,WA2,TS,WA2TS,4,30,UNKN,2.5,3,Y
392,WA2,TS,WA2TS,4,30,QURU,10.4,3,Y
393,WA2,TS,WA2TS,4,150,BELE,7,2,Y
394,WA2,TS,WA2TS,4,150,BELE,3,2,N
395,WA2,TS,WA2TS,4,150,BELE,3,2,N
396,WA2,TS,WA2TS,4,150,BELE,5.3,5,Y
397,WA2,TS,WA2TS,5,30,TSCA,22.7,4,Y
398,WA2,TS,WA2TS,5,30,TSCA,14.7,4,Y
399,WA2,TS,WA2TS,5,30,TSCA,6.7,3,Y
400,WA2,TS,WA2TS,5,30,UNKN,8.3,5,Y
401,WA2,TS,WA2TS,5,150,TSCA,4.7,2,N
402,WA2,TS,WA2TS,5,150,UNKN,8.5,3,Y
403,WA2,TS,WA2TS,5,150,UNKN,51,5,Y
404,WA2,TS,WA2TS,5,270,BELE,15.1,2,N
405,WA2,TS,WA2TS,5,270,BELE,4.6,2,N
406,WA2,TS,WA2TS,5,270,BELE,3.3,2,N
407,WA2,TS,WA2TS,5,270,BELE,6.2,3,
408,WA3,TS,WA3TS,1,30,TSCA,3.5,1,Y
409,WA3,TS,WA3TS,1,30,UNKN,7.1,3,Y
410,WA3,TS,WA3TS,1,30,UNKN,4.8,5,Y
411,WA3,TS,WA3TS,1,150,UNKN,14.4,4,Y
412,WA3,TS,WA3TS,1,270,TSCA,16,2,N
413,WA3,TS,WA3TS,1,270,ACRU,12.2,3,Y
414,WA3,TS,WA3TS,1,270,ACRU,10.7,3,Y
415,WA3,TS,WA3TS,2,30,FRAM,12.2,2,Y
416,WA3,TS,WA3TS,2,30,UNKN,13.2,5,Y
417,WA3,TS,WA3TS,2,30,UNKN,6.7,3,Y
418,WA3,TS,WA3TS,2,150,BELE,2.8,2,Y
419,WA3,TS,WA3TS,2,150,BELE,12.3,5,Y
420,WA3,TS,WA3TS,2,270,UNKN,11.2,5,Y
421,WA3,TS,WA3TS,2,270,UNKN,7.2,3,Y
422,WA3,TS,WA3TS,2,270,UNKN,7.6,2,Y
423,WA3,TS,WA3TS,3,30,TSCA,5,3,Y
424,WA3,TS,WA3TS,3,30,UNKN,11.2,5,Y
425,WA3,TS,WA3TS,3,30,UNKN,5.1,3,Y
426,WA3,TS,WA3TS,3,30,UNKN,5.6,3,Y
427,WA3,TS,WA3TS,3,30,UNKN,8.7,3,Y
428,WA3,TS,WA3TS,3,150,UNKN,3.4,3,N
429,WA3,TS,WA3TS,3,270,UNKN,2.9,3,Y
430,WA3,TS,WA3TS,3,270,TSCA,3.2,5,Y
431,WA3,TS,WA3TS,4,30,TSCA,9.6,1,N
432,WA3,TS,WA3TS,4,150,BELE,5.7,5,Y
433,WA3,TS,WA3TS,4,270,UNKN,3.7,3,Y
434,WA3,TS,WA3TS,4,270,UNKN,12.9,3,Y
435,WA3,TS,WA3TS,5,30,UNKN,6.3,5,Y
