ft,site,plot,asn,aco,lat_dd,long_dd
MD,WA3,WA3MD,3,55,42.4996,-71.8986
MD,WA3,WA3MD,3,56,42.4996,-71.8986
MD,WA3,WA3MD,3,55,42.4996,-71.8986
MD,WA3,WA3MD,3,56,42.4996,-71.8986
MD,WA3,WA3MD,3,55,42.4996,-71.8986
MD,WA3,WA3MD,3,56,42.4996,-71.8986
MD,WA3,WA3MD,3,55,42.4996,-71.8986
MD,WA3,WA3MD,3,56,42.4996,-71.8986
MD,WA3,WA3MD,3,55,42.4996,-71.8986
MD,WA3,WA3MD,3,56,42.4996,-71.8986
MD,WA3,WA3MD,3,55,42.4996,-71.8986
MD,WA3,WA3MD,3,56,42.4996,-71.8986
MD,WA3,WA3MD,3,55,42.4996,-71.8986
MD,WA3,WA3MD,3,56,42.4996,-71.8986
MD,WA3,WA3MD,4,57,42.4996,-71.899
MD,WA3,WA3MD,4,58,42.4996,-71.899
MD,WA3,WA3MD,4,57,42.4996,-71.899
MD,WA3,WA3MD,4,58,42.4996,-71.899
MD,WA3,WA3MD,4,57,42.4996,-71.899
MD,WA3,WA3MD,4,58,42.4996,-71.899
MD,WA3,WA3MD,4,57,42.4996,-71.899
MD,WA3,WA3MD,4,58,42.4996,-71.899
MD,WA3,WA3MD,4,57,42.4996,-71.899
MD,WA3,WA3MD,4,58,42.4996,-71.899
MD,WA3,WA3MD,4,57,42.4996,-71.899
MD,WA3,WA3MD,4,58,42.4996,-71.899
MD,WA3,WA3MD,4,57,42.4996,-71.899
MD,WA3,WA3MD,4,58,42.4996,-71.899
MD,WA3,WA3MD,4,57,42.4996,-71.899
MD,WA3,WA3MD,4,58,42.4996,-71.899
MD,WA3,WA3MD,5,59,42.4997,-71.8988
MD,WA3,WA3MD,5,60,42.4997,-71.8988
MD,WA3,WA3MD,5,59,42.4997,-71.8988
MD,WA3,WA3MD,5,60,42.4997,-71.8988
MD,WA3,WA3MD,5,59,42.4997,-71.8988
MD,WA3,WA3MD,5,60,42.4997,-71.8988
MD,WA3,WA3MD,5,59,42.4997,-71.8988
MD,WA3,WA3MD,5,60,42.4997,-71.8988
MD,WA3,WA3MD,5,59,42.4997,-71.8988
MD,WA3,WA3MD,5,60,42.4997,-71.8988
MD,WA3,WA3MD,5,59,42.4997,-71.8988
MD,WA3,WA3MD,5,60,42.4997,-71.8988
MD,WA3,WA3MD,5,59,42.4997,-71.8988
MD,WA3,WA3MD,5,60,42.4997,-71.8988
MD,WA3,WA3MD,5,59,42.4997,-71.8988
MD,WA3,WA3MD,5,60,42.4997,-71.8988
TS,MR,MRTS,1,61,42.6277,-72.1937
TS,MR,MRTS,1,62,42.6277,-72.1937
TS,MR,MRTS,1,61,42.6277,-72.1937
TS,MR,MRTS,1,62,42.6277,-72.1937
TS,MR,MRTS,1,61,42.6277,-72.1937
TS,MR,MRTS,1,62,42.6277,-72.1937
TS,MR,MRTS,1,61,42.6277,-72.1937
TS,MR,MRTS,1,62,42.6277,-72.1937
TS,MR,MRTS,1,61,42.6277,-72.1937
TS,MR,MRTS,1,62,42.6277,-72.1937
TS,MR,MRTS,1,61,42.6277,-72.1937
TS,MR,MRTS,1,62,42.6277,-72.1937
TS,MR,MRTS,1,61,42.6277,-72.1937
TS,MR,MRTS,1,62,42.6277,-72.1937
TS,MR,MRTS,1,61,42.6277,-72.1937
TS,MR,MRTS,1,62,42.6277,-72.1937
TS,MR,MRTS,2,63,42.6274,-72.1938
TS,MR,MRTS,2,64,42.6274,-72.1938
